observedStorage,observedOutflow,observedWaterSupply,elevationEnd,inflow,storage,outflow,totalWaterSupply,waterSupply,elevation,totalIndoor,totalOutdoor,numOfHouseholds,population,shiftFactor,ignore,deficit,reliability,resilience,sumDeficit,nonzerodeficit,maxDeficit,averageDemand,sustainabilityindex
349454.84113586805,0.0,0.0,0.0,5067.025489510831,112608.95357512591,1983.4710743801652,2007.6664842257533,2007.6664842257533,249.90001142838491,2.573673303994332E8,1.756532459144551E8,128726.0,342021.0,0.9966666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
361699.8238723223,0.0,0.0,0.0,12244.982736454242,110072.8341387424,11900.826446280993,2880.2757265567407,2880.2757265567407,249.66546787558886,2.669510681235322E8,3.542769420350055E8,129234.0,343287.0,0.9963333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
523882.8589534323,0.0,0.0,0.0,162183.03508111005,185279.33129507364,85289.25619834714,1687.2817264318371,1687.2817264318371,255.44290381661517,2.6795715722858194E8,9.596170644947736E7,129741.0,344559.0,0.996,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
535474.3431207215,0.0,0.0,0.0,11591.484167289262,139757.24996700816,55537.19008264461,1576.3754127103782,1576.3754127103782,252.15427538187,2.4297178900347805E8,9.702641042984906E7,130249.0,345894.0,0.9956666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
594338.232363638,0.0,0.0,0.0,58863.889242916506,134328.13153607663,61487.603305785095,2805.4043680632317,2805.4043680632317,251.72641159932925,2.7002842463465863E8,3.3505106730169153E8,130756.0,347181.0,0.9953333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
601591.7990836104,0.0,0.0,0.0,7253.566719972427,109181.80419198226,27768.59504132232,4631.2990227445125,4631.2990227445125,249.5830642922392,2.6230705954998016E8,7.365878204863774E8,131264.0,348421.0,0.995,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
620616.5811659469,0.0,0.0,0.0,19024.782082336453,120321.42220986815,6148.760330578512,1736.4037338720536,1736.4037338720536,250.57058427031944,2.720891207181339E8,1.0242455048298123E8,131771.0,349721.0,0.9946666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
627223.5060860638,0.0,0.0,0.0,6606.924920116917,119673.56769434894,5950.413223140496,1304.3662124956384,1304.3662124956384,250.51477323348973,2.642775412532727E8,1.7052756132884037E7,132279.0,350971.0,0.9943333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
626652.2236766359,0.0,0.0,0.0,-571.2824094279573,103853.23409534397,6148.760330578512,9100.290858998495,9100.290858998495,249.09027134887117,2.741316819691337E8,1.6886510926348443E9,132786.0,352276.0,0.994,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
624578.2975485271,0.0,0.0,0.0,-2073.926128108754,90873.33368972859,6148.760330578512,4757.213946928106,4757.213946928106,247.79657068892183,2.751455159547741E8,7.509071382748502E8,133294.0,353528.0,0.9936666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
627751.2140716669,0.0,0.0,0.0,3172.9165231398556,84466.92071630876,5950.413223140496,3628.9162734191927,3628.9162734191927,247.1080052360607,2.6726406363066357E8,5.1543337563933533E8,133801.0,354833.0,0.9933333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
627698.3793723672,0.0,0.0,0.0,-52.834699299810275,78659.56242347787,3689.2561983471073,2065.267395183964,2065.267395183964,246.43601369526854,2.772051704966551E8,1.6823897310563356E8,134309.0,356111.0,0.993,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
656801.6330405484,0.0,0.0,0.0,29103.25366818125,102275.79841295118,3570.2479338842977,1916.7697448236418,1916.7697448236418,248.94114881269326,2.6926890456931794E8,1.441467429429902E8,134816.0,357425.0,0.9926666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
665526.8555447331,0.0,0.0,0.0,8725.222504184669,105675.40839972552,3689.2561983471073,1636.356319063207,1636.356319063207,249.25878834733427,2.792585540539128E8,7.36765384542736E7,135324.0,358687.0,0.9923333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
715674.1389819034,0.0,0.0,0.0,50147.28343717026,111842.51269666966,41652.89256198347,2327.286578242723,2327.286578242723,249.82913000061683,2.8027514016625553E8,2.2168222340768385E8,135831.0,359963.0,0.992,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
